archivo,k,n,m,tiempo(ms),pares
input_10.txt,10,-1,-1,0,16384
input_20.txt,20,-1,-1,342,0
input_30.txt,30,-1,-1,851,0
input_40.txt,40,-1,-1,2436,0
input_50.txt,50,-1,-1,1118,0
input_60.txt,60,-1,-1,2697,0
input_70.txt,70,-1,-1,2748,0
input_80.txt,80,-1,-1,3116,0
input_90.txt,90,-1,-1,3942,0
input_100.txt,100,-1,-1,4616,0
input_250.txt,250,-1,-1,9417,18446744073709502464
input_400.txt,400,-1,-1,15082,0
input_550.txt,550,-1,-1,22883,0
input_700.txt,700,-1,-1,27541,0
input_850.txt,850,-1,-1,30708,0
input_1000.txt,1000,-1,-1,44523,8192
input_3250.txt,3250,-1,-1,60000,18014398509481944
input_5500.txt,5500,-1,-1,60000,18014398509481944
input_7750.txt,7750,-1,-1,60000,18014398509481944
input_10000.txt,10000,-1,-1,60000,18014398509481944
input_40000.txt,40000,-1,-1,60000,18014398509481944
input_70000.txt,70000,-1,-1,60000,18014398509481944
input_100000.txt,100000,-1,-1,60000,18014398509481944
input_550000.txt,100000,-1,-1,60000,18014398509481944
input_1000000.txt,100000,-1,-1,60000,18014398509481944
input_10000000.txt,100000,-1,-1,60000,18014398509481944
