archivo,k,n,m,tiempo(ms),pares
input_10.txt,10,-1,-1,0,16384
input_20.txt,20,-1,-1,0,0
input_30.txt,30,-1,-1,0,0
input_40.txt,40,-1,-1,0,24576
input_50.txt,50,-1,-1,1,61440
input_60.txt,60,-1,-1,1,16384
input_70.txt,70,-1,-1,2,4096
input_80.txt,80,-1,-1,4,65536
input_90.txt,90,-1,-1,5,24576
input_100.txt,100,-1,-1,7,32768
input_250.txt,250,-1,-1,19,12288
input_400.txt,400,-1,-1,26,18446744073709539328
input_550.txt,550,-1,-1,39,18446744073709518848
input_700.txt,700,-1,-1,47,106496
input_850.txt,850,-1,-1,65,12288
input_1000.txt,1000,-1,-1,92,4096
input_3250.txt,3250,-1,-1,231,196608
input_5500.txt,5500,-1,-1,379,18446744073709535232
input_7750.txt,7750,-1,-1,528,98304
input_10000.txt,10000,-1,-1,687,12288
input_40000.txt,40000,-1,-1,3093,24576
input_70000.txt,70000,-1,-1,5831,12288
input_100000.txt,100000,-1,-1,7540,18446744073709510656
input_550000.txt,100000,-1,-1,6456,172032
input_1000000.txt,100000,-1,-1,6784,65536
input_10000000.txt,100000,-1,-1,6523,18446744073709441024
